,date,closing,adjusted,evolution,quantity,volume
416,06/04/2021,293.0,293.0,1.52,3.0,879.0
417,05/04/2021,288.6,288.6,-1.84,18.0,5194.8
418,02/04/2021,294.0,294.0,0.0,82.0,24108.0
419,01/04/2021,294.0,294.0,-0.34,210.0,61740.0
420,31/03/2021,295.0,295.0,1.78,257.0,75815.0
421,30/03/2021,289.85,289.85,1.99,252.0,73042.2
422,29/03/2021,284.2,284.2,0.0,0.0,0.0
423,26/03/2021,284.2,284.2,0.0,0.0,0.0
424,25/03/2021,284.2,284.2,-1.98,10.0,2842.0
425,24/03/2021,289.95,289.95,0.0,0.0,0.0
426,23/03/2021,289.95,289.95,1.74,1.0,289.95
427,22/03/2021,285.0,285.0,-1.72,30.0,8550.0
428,19/03/2021,290.0,290.0,0.0,0.0,0.0
429,18/03/2021,290.0,290.0,0.0,0.0,0.0
430,17/03/2021,290.0,290.0,0.17,1.0,290.0
431,16/03/2021,289.5,289.5,1.58,2.0,579.0
432,15/03/2021,285.0,285.0,0.0,9.0,2565.0
433,12/03/2021,285.0,285.0,0.0,0.0,0.0
434,11/03/2021,285.0,285.0,0.0,0.0,0.0
435,10/03/2021,285.0,285.0,0.0,0.0,0.0
436,09/03/2021,285.0,285.0,1.79,1.0,285.0
437,08/03/2021,280.0,280.0,0.0,0.0,0.0
438,05/03/2021,280.0,280.0,0.0,0.0,0.0
439,04/03/2021,280.0,280.0,0.0,0.0,0.0
440,03/03/2021,280.0,280.0,0.0,0.0,0.0
441,02/03/2021,280.0,280.0,0.0,0.0,0.0
442,01/03/2021,280.0,280.0,-0.36,66.0,18480.0
443,26/02/2021,281.0,281.0,0.0,0.0,0.0
444,25/02/2021,281.0,281.0,0.36,10.0,2810.0
445,24/02/2021,280.0,280.0,-0.11,14.0,3920.0
446,23/02/2021,280.3,280.3,-1.99,6.0,1681.8
447,22/02/2021,286.0,286.0,0.0,0.0,0.0
448,19/02/2021,286.0,286.0,0.0,0.0,0.0
449,18/02/2021,286.0,286.0,-0.31,35.0,10010.0
450,17/02/2021,286.9,286.9,0.0,0.0,0.0
451,16/02/2021,286.9,286.9,0.24,1.0,286.9
452,15/02/2021,286.2,286.2,2.0,1.0,286.2
453,12/02/2021,280.6,280.6,0.0,0.0,0.0
454,11/02/2021,280.6,280.6,0.0,0.0,0.0
455,10/02/2021,280.6,280.6,0.0,0.0,0.0
456,09/02/2021,280.6,280.6,0.0,0.0,0.0
457,08/02/2021,280.6,280.6,2.0,1.0,280.6
458,05/02/2021,275.1,275.1,-0.04,22.0,6052.2
459,04/02/2021,275.2,275.2,0.0,0.0,0.0
460,03/02/2021,275.2,275.2,0.07,28.0,7705.6
461,02/02/2021,275.0,275.0,0.0,13.0,3575.0
462,01/02/2021,275.0,275.0,0.0,151.0,41525.0
463,29/01/2021,275.0,275.0,0.0,0.0,0.0
464,28/01/2021,275.0,275.0,0.0,0.0,0.0
465,27/01/2021,275.0,275.0,0.0,110.0,30250.0
466,26/01/2021,275.0,275.0,0.0,64.0,17600.0
467,25/01/2021,275.0,275.0,0.0,0.0,0.0
468,22/01/2021,275.0,275.0,0.0,0.0,0.0
469,21/01/2021,275.0,275.0,0.0,0.0,0.0
470,20/01/2021,275.0,275.0,0.0,0.0,0.0
471,19/01/2021,275.0,275.0,0.0,0.0,0.0
472,18/01/2021,275.0,275.0,1.83,80.0,22000.0
473,15/01/2021,270.05,270.05,0.0,0.0,0.0
474,14/01/2021,270.05,270.05,0.02,13.0,3510.65
475,13/01/2021,270.0,270.0,0.0,4.0,1080.0
476,12/01/2021,270.0,270.0,0.0,0.0,0.0
477,08/01/2021,270.0,270.0,-1.82,4.0,1080.0
478,07/01/2021,275.0,275.0,0.0,4.0,1100.0
479,06/01/2021,275.0,275.0,-1.75,1.0,275.0
480,05/01/2021,279.9,279.9,0.0,0.0,0.0
481,04/01/2021,279.9,279.9,1.05,23.0,6437.7
482,31/12/2020,277.0,277.0,0.0,0.0,0.0
483,30/12/2020,277.0,277.0,0.0,0.0,0.0
484,29/12/2020,277.0,277.0,0.0,1.0,277.0
485,28/12/2020,277.0,277.0,0.0,0.0,0.0
486,25/12/2020,277.0,277.0,0.0,0.0,0.0
487,24/12/2020,277.0,277.0,0.0,0.0,0.0
488,23/12/2020,277.0,277.0,0.0,3.0,831.0
489,22/12/2020,277.0,277.0,0.0,0.0,0.0
490,21/12/2020,277.0,277.0,0.0,0.0,0.0
491,18/12/2020,277.0,277.0,0.0,1.0,277.0
