,date,closing,adjusted,evolution,quantity,volume
340,27/07/2021,64.27,48.21,0.42,140.0,8979.62
341,26/07/2021,64.0,48.0,0.0,50.0,3200.0
342,23/07/2021,64.0,48.0,0.19,1370.0,87677.58
343,20/07/2021,63.88,47.91,0.0,0.0,0.0
344,19/07/2021,63.88,47.91,0.2,155.0,9901.4
345,16/07/2021,63.75,47.82,0.0,275.0,17485.65
346,15/07/2021,63.75,47.82,1.45,994.0,63367.5
347,14/07/2021,62.84,47.13,-0.49,764.0,48009.76
348,13/07/2021,63.15,47.37,-0.16,77.0,4862.55
349,12/07/2021,63.25,47.44,-0.28,618.0,37951.53
350,09/07/2021,63.43,47.58,0.0,92.0,5865.77
351,08/07/2021,63.43,47.58,3.98,7471.0,470244.52
352,07/07/2021,61.0,45.75,3.11,847.0,51648.6
353,06/07/2021,59.16,44.37,-1.4,2175.0,128614.7
354,05/07/2021,60.0,45.0,0.0,15.0,884.27
355,02/07/2021,60.0,45.0,0.93,7154.0,429167.95
356,01/07/2021,59.45,44.59,0.78,10152.0,598908.78
357,30/06/2021,58.99,44.25,0.24,10829.0,638743.58
358,29/06/2021,58.85,44.14,1.47,1.0,58.85
359,28/06/2021,58.0,43.5,-0.85,7.0,407.7
360,25/06/2021,58.5,43.88,0.86,11786.0,683361.8
361,24/06/2021,58.0,43.5,1.05,20056.0,1157487.8
362,23/06/2021,57.4,43.05,-1.2,2052.0,117915.65
363,22/06/2021,58.1,43.58,-0.51,58.0,3370.85
364,21/06/2021,58.4,43.8,2.46,18318.0,1069656.22
365,18/06/2021,57.0,42.75,-2.28,1835.0,104058.7
366,17/06/2021,58.33,43.75,-0.09,28.0,1633.64
367,16/06/2021,58.38,43.79,-0.03,1743.0,100265.31
368,15/06/2021,58.4,43.8,0.02,3659.0,213683.01
369,14/06/2021,58.39,43.8,-0.02,39.0,2252.9
370,11/06/2021,58.4,43.8,-0.17,200.0,11680.0
371,10/06/2021,58.5,43.88,1.14,111.0,6493.5
372,09/06/2021,57.84,43.38,0.78,1248.0,71571.47
373,08/06/2021,57.39,43.05,0.68,76.0,4352.24
374,07/06/2021,57.0,42.75,1.79,178.0,9951.75
375,04/06/2021,56.0,42.0,0.0,5490.0,307329.93
376,03/06/2021,56.0,42.0,-0.27,5490.0,307484.66
377,02/06/2021,56.15,42.12,-1.49,4846.0,272470.95
378,01/06/2021,57.0,42.75,-0.87,45.0,2565.0
379,31/05/2021,57.5,43.13,0.0,40.0,2299.72
380,28/05/2021,57.5,43.13,-0.69,2444.0,138007.05
381,27/05/2021,57.9,43.43,0.0,0.0,0.0
